,Gross domestic product: Chain volume measures - Percentage changes ;,GDP per capita: Chain volume measures - Percentage changes ;,Gross value added market sector: Chain volume measures - Percentage changes ;,Gross value added non-market sector: Chain volume measures - Percentage changes ;,Net domestic product: Chain volume measures - Percentage changes ;,Real gross domestic income: Chain volume measures - Percentage changes ;,Real gross national income: Chain volume measures - Percentage changes ;,Real net national disposable income: Chain volume measures - Percentage changes ;,Real net national disposable income per capita: Chain volume measures - Percentage changes ;,Gross domestic product: Current prices - Percentage Changes ;,Hours worked: Index - Percentage changes ;,Hours worked market sector: Index - Percentage changes ;,Hours worked non-market sector: Index - Percentage changes ;,GDP per hour worked: Index - Percentage changes ;,Gross value added per hour worked market sector: Index - Percentage changes ;,Gross value added per hour worked non-market sector: Index - Percentage changes ;,Real unit of labour costs: Index - Percentage changes ;,Real unit of labour costs - Non-farm: Index - Percentage changes ;,Gross domestic product: Index - Percentage changes ;,Domestic final demand: Index - Percentage changes ;,Terms of trade: Index - Percentage changes ;,Gross domestic product: Chain volume measures ;,GDP per capita: Chain volume measures ;,Gross value added market sector: Chain volume measures ;,Gross value added non-market sector: Chain volume measures ;,Net domestic product: Chain volume measures ;,Real gross domestic income: Chain volume measures ;,Real gross national income: Chain volume measures ;,Real net national disposable income: Chain volume measures ;,Real net national disposable income per capita: Chain volume measures ;,Gross domestic product: Current prices ;,GDP per capita: Current prices ;,Gross national income: Current prices ;,Net saving: Current prices ;,Household saving ratio: Ratio ;,Hours worked: Index ;,Hours worked market sector: Index ;,Hours worked non-market sector: Index ;,GDP per hour worked: Index ;,Gross value added per hour worked market sector: Index ;,Gross value added per hour worked non-market sector: Index ;,Real unit of labour costs: Index ;,Real unit of labour costs - Non-farm: Index ;,Gross domestic product: Index ;,Domestic final demand: Index ;,Terms of trade: Index ;,Gross domestic product - Expenditure based: Chain volume measures ;,Gross domestic product - Income based: Chain volume measures ;,Gross domestic product - Production based: Chain volume measures ;,Non-farm ;  Gross domestic product: Chain volume measures ;,Non-farm ;  Gross domestic product: Current prices ;,Non-farm ;  Gross domestic product: Implicit price deflators ;,Farm ;  Gross domestic product: Chain volume measures ;,Farm ;  Gross domestic product: Current prices ;,Farm ;  Gross domestic product: Implicit price deflators ;,Gross fixed capital formation - New private business investment: Chain volume measures ;,Gross fixed capital formation - New private business investment: Current prices ;,Private non-farm inventory levels: Chain volume measures ;,Private non-farm inventory levels - book values: Current prices ;,Domestic sales: Current prices ;,Total sales: Current prices ;,Inventories to total sales: Ratio ;,Imports of merchandise goods: Current prices ;,Imports to domestic sales: Ratio ;,Wages share of total factor income: Ratio ;,Profits share of total factor income: Ratio ;,Average compensation per employee: Current prices ;,Compensation of employees per hour: Current prices ;,Non-farm ;  Total compensation of employees: Current prices ;,Average non-farm compensation per employee: Current prices ;,Non-farm compensation of employees per hour: Current prices ;,Gross fixed capital formation - Mining private business investment: Chain volume measures ;,Gross fixed capital formation - Non-mining private business investment: Chain volume measures ;,Gross fixed capital formation - Mining private business investment: Current prices ;,Gross fixed capital formation - Non-mining private business investment: Current prices ;,Public ;  Final demand: Chain volume measures ;,Private ;  Final demand: Chain volume measures ;,Public ;  Final demand: Current prices ;,Private ;  Final demand: Current prices ;,Households ;  Final consumption expenditure - Goods: Chain volume measures ;,Households ;  Final consumption expenditure - Services: Chain volume measures ;,Households ;  Final consumption expenditure - Essential consumption: Chain volume measures ;,Households ;  Final consumption expenditure - Discretionary consumption: Chain volume measures ;,Households ;  Final consumption expenditure - Goods: Current prices ;,Households ;  Final consumption expenditure - Services: Current prices ;,Households ;  Final consumption expenditure - Essential consumption: Current prices ;,Households ;  Final consumption expenditure - Discretionary consumption: Current prices ;,Gross domestic product - Expenditure based: Chain volume measures - Percentage changes ;,Gross domestic product - Income based: Chain volume measures - Percentage changes ;,Gross domestic product - Production based: Chain volume measures - Percentage changes ;,Non-farm ;  Gross domestic product: Chain volume measures - Percentage changes ;,Non-farm ;  Gross domestic product: Current prices - Percentage Changes ;,Non-farm ;  Gross domestic product: Implicit price deflators - Percentage changes ;,Farm ;  Gross domestic product: Chain volume measures - Percentage changes ;,Farm ;  Gross domestic product: Current prices - Percentage Changes ;,Farm ;  Gross domestic product: Implicit price deflators - Percentage changes ;,Gross fixed capital formation - New private business investment: Chain volume measures - Percentage changes ;,Gross fixed capital formation - New private business investment: Current prices - Percentage Changes ;,Average compensation per employee: Current prices - Percentage Changes ;,Compensation of employees per hour: Current prices - Percentage Changes ;,Non-farm ;  Total compensation of employees: Current prices - Percentage Changes ;,Average non-farm compensation per employee: Current prices - Percentage Changes ;,Non-farm compensation of employees per hour: Current prices - Percentage Changes ;,Gross fixed capital formation - Mining private business investment: Chain volume measures - Percentage changes ;,Gross fixed capital formation - Non-mining private business investment: Chain volume measures - Percentage changes ;,Gross fixed capital formation - Mining private business investment: Current prices - Percentage Changes ;,Gross fixed capital formation - Non-mining private business investment: Current prices - Percentage Changes ;,Public ;  Final demand: Chain volume measures - Percentage changes ;,Private ;  Final demand: Chain volume measures - Percentage changes ;,Public ;  Final demand: Current prices - Percentage Changes ;,Private ;  Final demand: Current prices - Percentage Changes ;,Households ;  Final consumption expenditure - Goods: Chain volume measures - Percentage changes ;,Households ;  Final consumption expenditure - Services: Chain volume measures - Percentage changes ;,Households ;  Final consumption expenditure - Essential consumption: Chain volume measures - Percentage changes ;,Households ;  Final consumption expenditure - Discretionary consumption: Chain volume measures - Percentage changes ;,Households ;  Final consumption expenditure - Goods: Current prices - Percentage Changes ;,Households ;  Final consumption expenditure - Services: Current prices - Percentage Changes ;,Households ;  Final consumption expenditure - Essential consumption: Current prices - Percentage Changes ;,Households ;  Final consumption expenditure - Discretionary consumption: Current prices - Percentage Changes ;
Unit,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,$ Millions,$,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$,$ Millions,$,$ Millions,$ Millions,proportion,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,Index Numbers,$ Millions,$ Millions,Index Numbers,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,proportion,$ Millions,proportion,Percent,Percent,$,$,$ Millions,$,$,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED
Frequency,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual
Collection Month,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Series Start,Jun-1961,Jun-1961,Jun-1996,Jun-1996,Jun-1961,Jun-1961,Jun-1961,Jun-1961,Jun-1961,Jun-1961,Jun-1980,Jun-1987,Jun-1987,Jun-1980,Jun-1996,Jun-1996,Jun-1987,Jun-1987,Jun-1987,Jun-1987,Jun-1961,Jun-1960,Jun-1960,Jun-1995,Jun-1995,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1979,Jun-1986,Jun-1986,Jun-1979,Jun-1995,Jun-1995,Jun-1986,Jun-1986,Jun-1986,Jun-1986,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1960,Jun-1985,Jun-1960,Jun-1985,Jun-1986,Jun-1960,Jun-1985,Jun-1960,Jun-1996,Jun-1996,Jun-1996,Jun-1960,Jun-1996,Jun-1960,Jun-1960,Jun-1979,Jun-1986,Jun-1960,Jun-1972,Jun-1986,Jun-2002,Jun-2002,Jun-2001,Jun-2001,Jun-1986,Jun-1986,Jun-1986,Jun-1986,Jun-1986,Jun-1986,Jun-1986,Jun-1986,Jun-1986,Jun-1986,Jun-1986,Jun-1986,Jun-1961,Jun-1961,Jun-1961,Jun-1961,Jun-1961,Jun-1961,Jun-1986,Jun-1961,Jun-1986,Jun-1987,Jun-1961,Jun-1980,Jun-1987,Jun-1961,Jun-1973,Jun-1987,Jun-2003,Jun-2003,Jun-2002,Jun-2002,Jun-1987,Jun-1987,Jun-1987,Jun-1987,Jun-1987,Jun-1987,Jun-1987,Jun-1987,Jun-1987,Jun-1987,Jun-1987,Jun-1987
Series End,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025
No. Obs,65,65,30,30,65,65,65,65,65,65,46,39,39,46,30,30,39,39,39,39,65,66,66,31,31,66,66,66,66,66,66,66,66,66,66,47,40,40,47,31,31,40,40,40,40,66,66,66,66,66,66,66,41,66,41,40,66,41,66,30,30,30,66,30,66,66,47,40,66,54,40,24,24,25,25,40,40,40,40,40,40,40,40,40,40,40,40,65,65,65,65,65,65,40,65,40,39,65,46,39,65,53,39,23,23,24,24,39,39,39,39,39,39,39,39,39,39,39,39
Series ID,A2304830V,A2305033W,A3605665J,A130272183V,A2304836J,A2304838L,A2304810K,A2304851F,A2305076W,A2304657A,A2305015T,A2305088F,A130272184W,A2305020K,A3605666K,A130272185X,A2478946W,A2478947X,A2304800F,A2304797C,A2304802K,A2304755F,A2305001C,A3605667L,A130272186A,A2304773K,A2304775R,A2304735W,A2304846L,A2305058T,A2304617J,A2304887J,A2304605X,A2304633J,A2323368K,A2304958F,A2305086A,A130272187C,A2304964A,A3605668R,A130272188F,A2432926J,A2432927K,A2304706K,A2304703C,A2304708R,A2304843F,A2304844J,A2304845K,A2304754C,A2304616F,A2304681A,A2304753A,A2304615C,A2304680X,A2305130X,A2305129R,A2305012K,A2304619L,A2304899T,A2304632F,A2304906C,A2304889L,A2304903W,A2304902V,A2304901T,A2304854L,A129552316A,A2304583W,A2304919R,A129552317C,A108322796T,A108322797V,A108322798W,A108322799X,A124830436A,A124830437C,A124830438F,A124830439J,A124830440T,A124830441V,A124830442W,A124830443X,A124830450W,A124830451X,A124830452A,A124830453C,A2304848T,A2304849V,A2304850C,A2304829K,A2304656X,A2304789C,A2304828J,A2304655W,A2304788A,A2305128L,A2305127K,A2304907F,A129552318F,A2304645T,A2304923F,A129552319J,A108322800W,A108322801X,A108322802A,A108322803C,A124830460A,A124830461C,A124830462F,A124830463J,A124830464K,A124830465L,A124830466R,A124830467T,A124830474R,A124830475T,A124830476V,A124830477W
Jun-1960,,,,,,,,,,,,,,,,,,,,,,328717,32351,,,310508,290655,286244,266112,26190,16639,1637,16668,2487,14.2,,,,,,,,,,,57.9,326247,334511,325392,287877,14057,4.9,,2581,,,3030,,7499,,,,1820,,50.4,18.8,,,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
